Project,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
PR2001,arunKrishna,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,arunKrishna,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,arunKrishna,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,arunKrishna,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,arunKrishna,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,arunKrishna,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,arunKrishna,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,arunKrishna,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,arunKrishna,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,arunKrishna,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,arunKrishna,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,arunKrishna,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,arunKrishna,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,alexGarcia,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,alexGarcia,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,alexGarcia,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,alexGarcia,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,alexGarcia,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,alexGarcia,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,alexGarcia,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,alexGarcia,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,alexGarcia,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,alexGarcia,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,alexGarcia,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,alexGarcia,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,alexGarcia,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,paulBerks,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,paulBerks,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,paulBerks,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,paulBerks,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,paulBerks,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,paulBerks,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,paulBerks,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,paulBerks,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,paulBerks,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,paulBerks,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,paulBerks,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,paulBerks,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,paulBerks,12.Dec.2025,12.Jan.2026,0.00,0.0
